feature,coefficient,absolute_coefficient
r_peak_count,0.6996604000967842,0.6996604000967842
resp_peak_count,0.4366754876531964,0.4366754876531964
std_resp_interval,0.3570609880479935,0.3570609880479935
mean_resp_interval,0.35217152933869306,0.35217152933869306
min_hr,-0.3485864927999405,0.3485864927999405
std_rr,0.33152934356219754,0.33152934356219754
mean_resp_rate,-0.31664999330129473,0.31664999330129473
std_hr,0.29755684167980534,0.29755684167980534
sdnn,-0.26506277953851937,0.26506277953851937
mean_rr,0.16158725468002502,0.16158725468002502
std_resp_rate,-0.16001277678531337,0.16001277678531337
rmssd,-0.15810600034814648,0.15810600034814648
resp_std,0.14788973463390515,0.14788973463390515
resp_rms,0.13846283965712844,0.13846283965712844
ecg_std,-0.12644398414499702,0.12644398414499702
ecg_rms,-0.1262403947596024,0.1262403947596024
mean_hr,-0.12171245579756744,0.12171245579756744
ecg_mean,-0.07330022816554109,0.07330022816554109
max_hr,0.027434859126034362,0.027434859126034362
resp_mean,-0.0018728491851665115,0.0018728491851665115
