test_infant,n_train,n_test,train_positive,train_negative,test_positive,test_negative,tn,fp,fn,tp,accuracy,precision,sensitivity,f1,auroc,auprc
1,49,6,4,45,1,5,5,0,1,0,0.8333333333333334,0.0,0.0,0.0,1.0,1.0
2,50,5,5,45,0,5,4,1,0,0,0.8,0.0,,0.0,,
3,48,7,3,45,2,5,5,0,1,1,0.8571428571428571,1.0,0.5,0.6666666666666666,0.5,0.6428571428571428
4,50,5,5,45,0,5,5,0,0,0,1.0,0.0,,0.0,,
5,50,5,5,45,0,5,4,1,0,0,0.8,0.0,,0.0,,
6,50,5,5,45,0,5,4,1,0,0,0.8,0.0,,0.0,,
7,50,5,5,45,0,5,5,0,0,0,1.0,0.0,,0.0,,
8,50,5,5,45,0,5,5,0,0,0,1.0,0.0,,0.0,,
9,48,7,3,45,2,5,5,0,2,0,0.7142857142857143,0.0,0.0,0.0,1.0,1.0
10,50,5,5,45,0,5,5,0,0,0,1.0,0.0,,0.0,,
