feature,mean_importance,std_importance
mean_resp_rate,0.12118045825827964,0.023546944847418587
ecg_rms,0.08409281494716844,0.0288644833972345
ecg_std,0.07529382118105013,0.02592037870748638
resp_std,0.0626334964047249,0.014278384078706787
resp_rms,0.062185592311263124,0.014314314319791152
mean_resp_interval,0.05987439625680977,0.01467911977017675
mean_hr,0.0571642520928438,0.02713418580511252
std_resp_rate,0.05331251020375544,0.009987629538347703
min_hr,0.05265767248914829,0.01515742369177935
max_hr,0.050452577422574564,0.02060143877473236
mean_rr,0.04917957873446844,0.013955274362360007
r_peak_count,0.04493288877277107,0.0178403698762098
resp_mean,0.041354539226137334,0.00825142516141809
resp_peak_count,0.03462020879895609,0.02245544052025287
std_resp_interval,0.03102682232399488,0.011176212313531327
std_hr,0.02559491982564268,0.006333161514890732
rmssd,0.025039051502567817,0.006205261246318482
ecg_mean,0.02435972317177347,0.009686289015843747
std_rr,0.022893130612523488,0.0034302299173713646
sdnn,0.02215154546354663,0.004279739836121944
