index,infant,window_type,start_s,end_s,ecg_fs,resp_fs,ecg_samples,resp_samples,duration_s
0,1,control,14789.788,14804.788,250.0,500.0,3750,7500,15.0
1,1,control,70419.78,70434.78,250.0,500.0,3750,7500,15.0
2,1,control,71319.78,71334.78,250.0,500.0,3750,7500,15.0
3,1,control,107559.096,107574.096,250.0,500.0,3750,7500,15.0
4,1,control,127371.824,127386.824,250.0,500.0,3750,7500,15.0
5,1,precursor,3441.512,3456.512,250.0,500.0,3750,7500,15.0
6,2,control,14753.164,14768.164,500.0,50.0,7500,750,15.0
7,2,control,83082.83,83097.83,500.0,50.0,7500,750,15.0
8,2,control,116128.184,116143.184,500.0,50.0,7500,750,15.0
9,2,control,120167.988,120182.988,500.0,50.0,7500,750,15.0
10,2,control,153792.438,153807.438,500.0,50.0,7500,750,15.0
11,3,control,27729.666,27744.666,500.0,50.0,7500,750,15.0
12,3,control,57212.18,57227.18,500.0,50.0,7500,750,15.0
13,3,control,70430.948,70445.948,500.0,50.0,7500,750,15.0
14,3,control,78290.984,78305.984,500.0,50.0,7500,750,15.0
15,3,control,131788.63,131803.63,500.0,50.0,7500,750,15.0
16,3,precursor,8128.846,8143.846,500.0,50.0,7500,750,15.0
17,3,precursor,9412.3,9427.3,500.0,50.0,7500,750,15.0
18,4,control,37974.38,37989.38,500.0,50.0,7500,750,15.0
19,4,control,74351.442,74366.442,500.0,50.0,7500,750,15.0
20,4,control,75491.442,75506.442,500.0,50.0,7500,750,15.0
21,4,control,91295.668,91310.668,500.0,50.0,7500,750,15.0
22,4,control,138835.762,138850.762,500.0,50.0,7500,750,15.0
23,5,control,5130.0,5145.0,250.0,50.0,3750,750,15.0
24,5,control,5430.0,5445.0,250.0,50.0,3750,750,15.0
25,5,control,109935.132,109950.132,250.0,50.0,3750,750,15.0
26,5,control,145035.832,145050.832,250.0,50.0,3750,750,15.0
27,5,control,150242.48,150257.48,250.0,50.0,3750,750,15.0
28,6,control,77829.986,77844.986,500.0,50.0,7500,750,15.0
29,6,control,119003.64,119018.64,500.0,50.0,7500,750,15.0
30,6,control,136501.28,136516.28,500.0,50.0,7500,750,15.0
31,6,control,156230.116,156245.116,500.0,50.0,7500,750,15.0
32,6,control,169740.128,169755.128,500.0,50.0,7500,750,15.0
33,7,control,3517.98,3532.98,500.0,50.0,7500,750,15.0
34,7,control,12156.13,12171.13,500.0,50.0,7500,750,15.0
35,7,control,37042.418,37057.418,500.0,50.0,7500,750,15.0
36,7,control,40550.918,40565.918,500.0,50.0,7500,750,15.0
37,7,control,54881.184,54896.184,500.0,50.0,7500,750,15.0
38,8,control,28958.894,28973.894,500.0,50.0,7500,750,15.0
39,8,control,32768.894,32783.894,500.0,50.0,7500,750,15.0
40,8,control,36173.894,36188.894,500.0,50.0,7500,750,15.0
41,8,control,79863.896,79878.896,500.0,50.0,7500,750,15.0
42,8,control,85362.518,85377.518,500.0,50.0,7500,750,15.0
43,9,control,32062.57,32077.57,500.0,50.0,7500,750,15.0
44,9,control,83090.842,83105.842,500.0,50.0,7500,750,15.0
45,9,control,116431.834,116446.834,500.0,50.0,7500,750,15.0
46,9,control,119521.834,119536.834,500.0,50.0,7500,750,15.0
47,9,control,173034.97,173049.97,500.0,50.0,7500,750,15.0
48,9,precursor,6885.05,6900.05,500.0,50.0,7500,750,15.0
49,9,precursor,10057.6,10072.6,500.0,50.0,7500,750,15.0
50,10,control,27781.108,27796.108,500.0,50.0,7500,750,15.0
51,10,control,74665.62599999999,74680.62599999999,500.0,50.0,7500,750,15.0
52,10,control,107510.644,107525.644,500.0,50.0,7500,750,15.0
53,10,control,119658.714,119673.714,500.0,50.0,7500,750,15.0
54,10,control,142112.578,142127.578,500.0,50.0,7500,750,15.0
