feature,mean_importance,std_importance
mean_resp_rate,0.11944257438289793,0.03506078415961955
ecg_std,0.09316833209846222,0.02568998028960454
ecg_rms,0.09198838025097285,0.026163688373717568
mean_hr,0.07135324461879451,0.030913830081744788
min_hr,0.06377790300837548,0.018572832857145748
resp_std,0.06048229046435322,0.010026678969285717
resp_rms,0.05641318304368588,0.013471927915984713
max_hr,0.05422291301134352,0.016893705515003198
mean_rr,0.05085072779812061,0.022759693344020292
std_resp_rate,0.04942782965582906,0.012351883886703389
r_peak_count,0.04598586440111376,0.016167993280705516
mean_resp_interval,0.04209482724588944,0.016071718671069626
resp_mean,0.041787560709185476,0.009103694980800794
ecg_mean,0.030277959347168433,0.012479412082932819
rmssd,0.02767017215951321,0.014445380924665324
std_resp_interval,0.02244504775754861,0.007862255167072799
std_hr,0.02177971043693137,0.006565785853948958
std_rr,0.021183831507526108,0.004323631935233644
resp_peak_count,0.019343967375240426,0.019558259701202032
sdnn,0.016303680727047944,0.003700976324428392
