sample_type,event_number,control_number,event_time,window_start,window_end,time_to_event,risk_label,ecg_mean,ecg_std,ecg_rms,r_peak_count,mean_rr,std_rr,mean_hr,min_hr,max_hr,std_hr,sdnn,rmssd,resp_mean,resp_std,resp_rms,resp_peak_count,mean_resp_interval,std_resp_interval,mean_resp_rate,std_resp_rate
precursor,2.0,,3456.512,3441.512,3446.512,10.0,1,0.0009902051670641122,0.16770797844228544,0.16771090167151018,13,0.38800000000000007,0.008944271909999166,154.72116342642522,150.0,159.5744680851064,3.5571024632907875,0.009341987329938283,0.0029541957835039884,-0.482965515507855,0.8880684368387506,1.0109012007505926,4,1.3813333333333333,0.2456031125390899,44.83717362860674,7.94136244507895
precursor,2.0,,3456.512,3442.512,3447.512,9.0,1,-0.0003259830144326662,0.1714570217203202,0.17145733160797777,13,0.3833333333333333,0.008768630958643945,156.60288385653277,150.0,161.29032258064515,3.548171003912871,0.009158536339327809,0.003190896140869865,-0.4637086269178937,0.8621047246778162,0.9789025727772358,3,1.3940000000000001,0.29999999999999993,45.13186663760039,9.71274030938315
precursor,2.0,,3456.512,3443.512,3448.512,8.0,1,-0.0015660542270659007,0.17543621594184344,0.17544320559609947,13,0.37766666666666665,0.005280993172584958,158.90111195998685,154.63917525773195,161.29032258064515,2.2068078460330076,0.005515817475609801,0.0029541957835039884,-0.3518862889722506,0.7365250032287496,0.8162677506478937,5,1.165,0.31423717157586556,54.681070879645404,11.896617673553305
precursor,2.0,,3456.512,3444.512,3449.512,7.0,1,0.0019663763885931127,0.18803179293843073,0.18804207452520436,14,0.37476923076923074,0.004263509680169548,160.11909936032848,156.25,163.04347826086956,1.8089085469862904,0.004437601569801837,0.0030550504633038967,-0.09320738683736839,0.8409150070340153,0.8460648119476835,4,1.422,0.24871402587443,43.62412398053821,8.220936172901633
precursor,2.0,,3456.512,3445.512,3450.512,6.0,1,0.0005945843874971697,0.1897139893532724,0.1897149210972279,14,0.368,0.01630478929168218,163.41516580531092,159.5744680851064,192.30769230769232,8.390877766913677,0.01697056274847714,0.017511900715418263,0.10546864735441176,0.8455099570061573,0.8520626285498756,4,1.4246666666666667,0.24520105129374042,43.49140865822246,8.03994765192019
precursor,2.0,,3456.512,3446.512,3451.512,5.0,1,-0.0031647932243103914,0.19901653718844767,0.19904169912516678,13,0.377,0.010472185381603348,159.26872270796653,150.0,163.04347826086956,4.231452110350786,0.010937840903778216,0.007722458393307389,0.0645500661307573,0.7700502282742273,0.772750972243112,3,1.2890000000000001,0.18699999999999994,47.54843374205066,6.898027237985627
precursor,2.0,,3456.512,3447.512,3452.512,4.0,1,-0.0002261781793425211,0.20025589250639828,0.20025602023435637,13,0.385,0.019672315572906,156.23146391237222,140.18691588785046,163.04347826086956,7.584183111752197,0.020547063492913485,0.011878169433498962,0.2051836881223212,0.6842920236497394,0.7143919928877517,3,1.509,0.4069999999999999,42.8808505317718,11.56561044826449
precursor,2.0,,3456.512,3448.512,3453.512,3.0,1,0.00508127040011244,0.20256125055103372,0.2026249726309117,13,0.39966666666666667,0.026404965862924765,150.77395676682616,135.13513513513513,163.04347826086956,9.832164072152965,0.02757908737804898,0.015491933384829673,0.23786584637345837,0.6642775268911345,0.7055811743545626,3,1.509,0.4069999999999999,42.8808505317718,11.56561044826449
precursor,2.0,,3456.512,3449.512,3454.512,2.0,1,0.00044992312689138425,0.19592501416366573,0.1959255307657803,12,0.42363636363636364,0.037424524597145035,142.701252540711,120.0,161.29032258064515,12.172113937711217,0.039251172536047194,0.027011108825814614,0.10690050590936899,0.46650187443132907,0.4785934778197699,3,1.685,0.23099999999999998,36.29035731823233,4.975117234725024
precursor,2.0,,3456.512,3450.512,3455.512,1.0,1,0.0025935779813684506,0.19251746078665827,0.19253493021913698,12,0.4465454545454545,0.03871660117587248,135.35549481952157,118.11023622047244,150.0,11.446417621191038,0.04060631388432995,0.026862613424609307,0.050985394593005516,0.1966884384676634,0.20318920317933306,3,1.4689999999999999,0.015000000000000013,40.84837069965927,0.4171038532980873
