infant,total_windows,positive_windows,negative_windows,predicted_positive,tn,fp,fn,tp,accuracy,sensitivity,specificity,precision,f1,auroc,auprc
1,6,1,5,1,4,1,1,0,0.6666666666666666,0.0,0.8,0.0,0.0,0.8,0.5
2,5,0,5,3,2,3,0,0,0.4,,0.4,0.0,0.0,,
3,7,2,5,6,1,4,0,2,0.42857142857142855,1.0,0.2,0.3333333333333333,0.5,0.7,0.7
4,5,0,5,1,4,1,0,0,0.8,,0.8,0.0,0.0,,
5,5,0,5,0,5,0,0,0,1.0,,1.0,0.0,0.0,,
6,5,0,5,2,3,2,0,0,0.6,,0.6,0.0,0.0,,
7,5,0,5,0,5,0,0,0,1.0,,1.0,0.0,0.0,,
8,5,0,5,5,0,5,0,0,0.0,,0.0,0.0,0.0,,
9,7,2,5,3,3,2,1,1,0.5714285714285714,0.5,0.6,0.3333333333333333,0.4,0.7,0.5
10,5,0,5,2,3,2,0,0,0.6,,0.6,0.0,0.0,,
